SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,Unit,UnitDescription,UnitASCode,StreamUnitASCode,AreaofStudy,StreamHeader,OutcomeCode,Outcome,OutcomeStudentType,OutcomeDescription,Type,Statement,ParentStatement,Level,Sequence
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS1,,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",,VCEPEU2AS1O1KS,Outcome 1,PE Students,,Key Skills,"Investigate, through participation, the sociocultural influences on physical activity behaviour across the lifespan",,1,3
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS1,,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",,VCEPEU2AS1O1KS,Outcome 1,PE Students,,Key Skills,Describe the physical activity and sedentary behaviour guidelines for different age population groups,,1,4
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS1,,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",,VCEPEU2AS1O1KS,Outcome 1,PE Students,,Key Skills,Analyse and interpret secondary data related to physical activity behaviour to explain outcomes of physical activity and sedentary behaviour,,1,5
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS1,,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",,VCEPEU2AS1O1KS,Outcome 1,PE Students,,Key Skills,Justify and use appropriate methods to collect and analyse data related to physical activity and sedentary behaviour at the individual and population levels,,1,6
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS1,,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",,VCEPEU2AS1O1KS,Outcome 1,PE Students,,Key Skills,Apply the social-ecological model to critique and create physical activity initiatives and strategies aimed at increasing physical activity and/or reducing sedentary behaviour,,1,7
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS1,,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",,VCEPEU2AS1O1KS,Outcome 1,PE Students,,Key Skills,"Explain health-related fitness components, including factors affecting each component",,1,8
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS1,,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",,VCEPEU2AS1O1KS,Outcome 1,PE Students,,Key Skills,"Justify an appropriate FMA for a targeted individual/group, from a physiological, psychological and sociocultural perspective",,1,9
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS1,,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",,VCEPEU2AS1O1KS,Outcome 1,PE Students,,Key Skills,"Conduct and evaluate an FMA using reliable, valid and accurate methodology",,1,10
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS1,,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",,VCEPEU2AS1O1KS,Outcome 1,PE Students,,Key Skills,"Using self-management skills, design a sustainable personalised plan that promotes adherence to physical activity and sedentary behaviour guidelines",,1,11
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS1,,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",,VCEPEU2AS1O1KS,Outcome 1,PE Students,,Key Skills,Implement strategies from a personalised plan to gather primary data about strengths and limitations of the program design.,,1,12
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS2,,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,,VCEPEU2AS2O2KK,Outcome 2,PE Students,,Key Knowledge,"Intrapersonal issues that influence access to, and inclusion, participation and performance in, physical activity and sport, such as:",,1,1
