SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,Unit,UnitDescription,UnitASCode,AreaofStudy,Outcome,OutcomeCode,ExampleType,ContentType,ExampleText,ParentText,URLTitle,URL,Sequence
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,Activity,Bullet,Headspace and Beyond blue Youth mental health,"In preparation for detailed research into one area of youth health and wellbeing, familiarise yourself with a range of state and national organisations and programs that support and promote youth health. Consider the influences that led to the creation and implementation of each program, and access to, programs that target youth health. The following are some examples of organisations and issues to explore:",,,32
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,Activity,Bullet,ADF Drug education,"In preparation for detailed research into one area of youth health and wellbeing, familiarise yourself with a range of state and national organisations and programs that support and promote youth health. Consider the influences that led to the creation and implementation of each program, and access to, programs that target youth health. The following are some examples of organisations and issues to explore:",,,33
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,Activity,Bullet,Cancer council Sunsmart,"In preparation for detailed research into one area of youth health and wellbeing, familiarise yourself with a range of state and national organisations and programs that support and promote youth health. Consider the influences that led to the creation and implementation of each program, and access to, programs that target youth health. The following are some examples of organisations and issues to explore:",,,34
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,Activity,Bullet,Royal life saving and Life Saving Victoria,"In preparation for detailed research into one area of youth health and wellbeing, familiarise yourself with a range of state and national organisations and programs that support and promote youth health. Consider the influences that led to the creation and implementation of each program, and access to, programs that target youth health. The following are some examples of organisations and issues to explore:",,,35
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,Activity,Bullet,Victorian Responsible Gambling Foundation Gambling,"In preparation for detailed research into one area of youth health and wellbeing, familiarise yourself with a range of state and national organisations and programs that support and promote youth health. Consider the influences that led to the creation and implementation of each program, and access to, programs that target youth health. The following are some examples of organisations and issues to explore:",,,36
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,DetailedExample,Paragraph,Report: focus on Australia's youth,,,,37
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,DetailedExampleStep,Paragraph,"Choose one area of youth health and wellbeing to focus on. Make sure it is an area that has been identified for health promotion action and intervention in Australia, as the task includes researching relevant strategies and programs.",,,,38
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,DetailedExampleStep,Paragraph,"The choice of focus should be supported by current health data on burden of disease, health inequalities among Australian youth and/or documented evidence of the major concerns of Australian young people. A recommended starting point for identifying current focal points is either AIHW Health of young people or Mission Australia Youth survey.",,,,39
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,DetailedExampleStep,Paragraph,Students' research and reporting on the selected focus area should be structured around the following:,,,,40
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,DetailedExampleStep,Bullet,"With a focus on the selected topic, explain its impact on the health and wellbeing of Australian young people, making sure all the dimensions of health that may apply are considered.",,,,41
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,DetailedExampleStep,Bullet,"Present statistical evidence (data) on incidence, prevalence and trends - that is, the number of young people reporting this health issue, how likely young people are to be affected, and any relevant information on who may be more (or less) likely to be affected, and whether the problem is improving or getting worse.",,,,42
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,DetailedExampleStep,Bullet,"Considering young people now and in the future, their families and the nation, what are the costs (direct, indirect and intangible)?",,,,43
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,DetailedExampleStep,Bullet,What are the risk factors?,,,,44
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,DetailedExampleStep,Bullet,What are the protective factors?,,,,45
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,DetailedExampleStep,Bullet,What healthcare services and supports are available for young people in relation to this issue?,,,,46
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,DetailedExampleStep,Bullet,"What programs and strategies are in place to address the chosen focus area? Has there been any community input or debate around this topic? (In other words, is it talked about in the news and/or on social media?) If so, discuss how community response and input has influenced related health strategies/programs.",,,,47
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,DetailedExampleStep,Bullet,Investigate how accessible programs and strategies are for young people and analyse the factors that may act as enablers or barriers to access programs and support.,,,,48
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,DetailedExampleStep,Bullet,How can young people contribute to improving the health outcomes in relation to this issue through advocacy and actions. Consider personal strategies as well as community actions.,,,,49
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,DetailedExampleStep,Paragraph,Area of Study 3: Health and nutrition,,,,50
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,,,OutcomeHeading,Outcome 3:,,,,1
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,,,OutcomeDescription,"On completion of this unit, the student should be able to apply nutrition information, food selection models and initiatives to evaluate nutrition information.",,,,2
