SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,Unit,UnitDescription,UnitASCode,StreamUnitASCode,AreaofStudy,StreamHeader,OutcomeCode,Outcome,OutcomeStudentType,OutcomeDescription,Type,Statement,ParentStatement,Level,Sequence
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS2,,Area of Study 2 - Youth health literacy,,VCEHHDU2AS2O2KS,Outcome 2,Health and Human Development Students,,Key Skills,Describe key aspects of the health system and their impact on youth health literacy and health outcomes,,1,1
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS2,,Area of Study 2 - Youth health literacy,,VCEHHDU2AS2O2KS,Outcome 2,Health and Human Development Students,,Key Skills,Research youth health services in the local community and explain which dimension(s) of health each one supports,,1,2
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS2,,Area of Study 2 - Youth health literacy,,VCEHHDU2AS2O2KS,Outcome 2,Health and Human Development Students,,Key Skills,Identify and explain factors that affect the ability of youth to access health services and information,,1,3
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS2,,Area of Study 2 - Youth health literacy,,VCEHHDU2AS2O2KS,Outcome 2,Health and Human Development Students,,Key Skills,Critique sources of health information and health services,,1,4
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS2,,Area of Study 2 - Youth health literacy,,VCEHHDU2AS2O2KS,Outcome 2,Health and Human Development Students,,Key Skills,Discuss rights and responsibilities of access to health services,,1,5
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS2,,Area of Study 2 - Youth health literacy,,VCEHHDU2AS2O2KS,Outcome 2,Health and Human Development Students,,Key Skills,Explain the options for consumer complaint and redress within the health system.,,1,6
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS1,,Area of Study 1 - Understanding health and wellbeing,,VCEHHDU3AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,"Concepts of health and wellbeing (physical, social, emotional, mental and spiritual dimensions), illness, and the dynamic and subjective nature of these concepts",,1,1
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS1,,Area of Study 1 - Understanding health and wellbeing,,VCEHHDU3AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,"Benefits of optimal health and wellbeing and its importance as a resource individually, nationally and globally",,1,2
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS1,,Area of Study 1 - Understanding health and wellbeing,,VCEHHDU3AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,Indicators used to measure and understand health status:,,1,3
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS1,,Area of Study 1 - Understanding health and wellbeing,,VCEHHDU3AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,Incidence,,1,4
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS1,,Area of Study 1 - Understanding health and wellbeing,,VCEHHDU3AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,Prevalence,,1,5
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS1,,Area of Study 1 - Understanding health and wellbeing,,VCEHHDU3AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,Morbidity,,1,6
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS1,,Area of Study 1 - Understanding health and wellbeing,,VCEHHDU3AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,Burden of disease,,1,7
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS1,,Area of Study 1 - Understanding health and wellbeing,,VCEHHDU3AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,Disability-adjusted life year (DALY),,1,8
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS1,,Area of Study 1 - Understanding health and wellbeing,,VCEHHDU3AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,Years of life lost (YLL),,1,9
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS1,,Area of Study 1 - Understanding health and wellbeing,,VCEHHDU3AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,Years lived with disability (YLD),,1,10
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS1,,Area of Study 1 - Understanding health and wellbeing,,VCEHHDU3AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,Life expectancy,,1,11
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS1,,Area of Study 1 - Understanding health and wellbeing,,VCEHHDU3AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,Health-adjusted life expectancy (HALE),,1,12
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS1,,Area of Study 1 - Understanding health and wellbeing,,VCEHHDU3AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,"Mortality (maternal, infant and under five)",,1,13
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS1,,Area of Study 1 - Understanding health and wellbeing,,VCEHHDU3AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,Self-assessed health status,,1,14
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS1,,Area of Study 1 - Understanding health and wellbeing,,VCEHHDU3AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,"Biological, sociocultural and environmental factors that contribute to variations in health status between population groups",,1,15
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS1,,Area of Study 1 - Understanding health and wellbeing,,VCEHHDU3AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,The contribution to Australia’s health status of:,,1,16
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS1,,Area of Study 1 - Understanding health and wellbeing,,VCEHHDU3AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,Smoking and vaping,,1,17
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS1,,Area of Study 1 - Understanding health and wellbeing,,VCEHHDU3AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,Alcohol,,1,18
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS1,,Area of Study 1 - Understanding health and wellbeing,,VCEHHDU3AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,Overweight and obesity,,1,19
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS1,,Area of Study 1 - Understanding health and wellbeing,,VCEHHDU3AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,"Nutritional imbalance (under-consumption of fruit and vegetables, and dairy foods; high intake of fat, salt and sugar; low intake of fibre).",,1,20
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS1,,Area of Study 1 - Understanding health and wellbeing,,VCEHHDU3AS1O1KS,Outcome 1,Health and Human Development Students,,Key Skills,Explain the dynamic and subjective nature of the concepts of health and wellbeing and illness,,1,1
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS1,,Area of Study 1 - Understanding health and wellbeing,,VCEHHDU3AS1O1KS,Outcome 1,Health and Human Development Students,,Key Skills,Describe the relationship between dimensions of health and wellbeing,,1,2
